,ictv_taxo_index
MK064563,0
MH447526,1
AM087120,2
AM087121,3
AM087122,4
AM087123,5
EU545650,6
AF440571,7
AJ854042,8
MK064564,9
FM164764,10
KP282675,11
MN876842,12
MN876843,13
MN876841,14
AJ414696,15
AJ344259,16
KX712143,17
AJ875026,18
MK064565,19
JX944686,20
KY744231,21
KY744233,22
KY744229,23
KY744228,24
KY744230,25
KY744234,26
AJ567472,27
KU307456,28
MN876844,29
X14855,30
DQ665917,31
DQ665652,32
KX832224,33
FJ940765,34
JQ815363,35
JQ815364,36
DQ657948,37
FJ815289,38
M75136,39
MG271984,40
AF023673,41
EU349274,42
EU349277,43
JN596962,44
AY372243,45
JF999965,46
KX589235,47
AF243438,48
HQ840738,49
AF291866,50
LT608135,51
HQ878327,52
KM924292,53
KY385637,54
MT862163,55
AY714813,56
JN555585,57
JN561323,58
JQ596859,59
AF533768,60
KY628968,61
KY628970,62
KT594769,63
MT900475,64
JQ360576,65
DQ149153,66
AB825953,67
HM625781,68
JX898220,69
AY261359,70
KU936049,71
KT819633,72
MG989243,73
AF275348,74
MH036942,75
MH036943,76
MH036941,77
AY665713,78
KM051845,79
AF030027,80
MF431611,81
AP010838,82
FJ478159,83
X04370,84
MF678601,85
MH509440,86
JF797218,87
AY124577,88
FJ483970,89
JQ264772,90
FJ483968,91
AY446894,92
AY186194,93
JN227533,94
KR297253,95
AF480884,96
AC090446,97
KR351281,98
FJ483967,99
GU305914,100
AF232689,101
JX867617,102
KC462165,103
KT832477,104
KF921519,105
KC503762,106
JQ805139,107
AF281817,108
AF037218,109
X83413,110
AF157706,111
KU351741,112
KY355735,113
KF017583,114
KY965444,115
AF319782,116
AJ581752,118
AJ507799,119
AY037858,120
KP676001,121
AJ581751,122
AJ581750,123
AJ581753,124
AF005370,125
KF274499,126
KJ705001,127
AF283477,128
DQ083950,129
AY839756,130
AF478169,131
AY170317,132
AY170316,133
MG452722,134
MG452721,135
MF385016,136
U20824,137
KM924295,138
KT595939,139
AF376034,140
KP136799,141
KU220026,142
M22036,143
AF083424,144
AF318573,145
HQ221963,146
AF148805,147
AF083501,148
KF703446,149
AY528864,150
KP265674,151
U97553,152
GQ169129,153
X64346,154
EU165547,155
GQ429152,156
U63458,157
AY236869,158
JX453331,159
AY509253,160
MZ130489,161
MZ130487,162
MT774393,163
MZ130490,164
MZ130479,165
MZ130484,166
MT774377,167
MN917146,168
BK010471,169
MZ130481,170
MZ130486,171
MZ130476,172
MT774386,173
MT774383,174
MZ130474,175
MT774381,176
MZ130480,177
MZ130488,178
MH616963,179
MT774384,180
MT774394,181
MH552500,182
KC821624,183
MZ130483,184
MT774390,185
MH675552,186
MT774388,187
MZ130478,188
MT774391,189
MT774387,190
MZ130485,191
MT774392,192
MT774378,193
MT774389,194
KJ003983,195
MT774385,196
MT074136,197
MZ130499,198
MT774401,199
MZ130492,200
MZ130482,201
MT774382,202
MT774375,203
MZ130475,204
MT774380,205
MZ130477,206
MT774376,207
MT774396,208
MZ130495,209
MT774403,210
MT774395,211
MT774397,212
MZ130498,213
MT774398,214
MZ130493,215
MZ130496,216
MT774399,217
MT774400,218
MZ130491,219
MT774411,220
MT774410,221
MT774402,222
MT774406,223
MZ130497,224
MT774409,225
MT774408,226
MZ130500,227
MT774407,228
MT774404,229
MT774379,230
MT774405,231
MZ130494,232
AP017903,233
AM419438,234
HQ332141,235
MZ334526,236
MG550112,237
KC292023,238
MZ334527,239
KC117378,240
MH674343,241
AF065411,242
KC292029,243
KC117377,244
AY190604,245
MZ334513,246
KC292022,247
KC292020,248
MZ334496,249
MZ334501,250
MN901521,251
MZ334521,252
KC117376,253
MZ334522,254
KC292026,255
MZ334525,256
FJ373894,257
LC373201,258
MK509462,259
MT078988,260
JX181829,261
HE600015,262
KJ716335,263
MT074474,264
MT074471,265
MT074477,266
MT074472,267
KY787213,268
JN593240,269
KP797973,270
MT074475,271
JX128257,272
MG748547,273
MG383452,274
KX245012,275
MT074470,276
KR296692,277
MT074480,278
KF669653,279
KF669654,280
MT074478,281
MG428992,282
MT074479,283
JN673056,284
KX438380,285
MT074469,286
MH370371,287
MK972690,288
MN871491,289
MN871495,290
MN871498,291
MH709121,292
MH709120,293
MH791405,294
HQ259103,295
JN126049,296
KJ174317,297
KJ174318,298
MF001362,299
MK972699,300
JX181828,301
KX765865,302
FQ312032,303
MH375644,304
MN718199,305
MH929319,306
JX878496,307
MG973030,308
KP037007,309
AB797215,310
KX147096,311
MG770379,312
MK373783,313
MN045230,314
MG428991,315
MG428990,316
MN478483,317
KY914485,318
MK795384,319
MT732457,320
KC821618,321
KC821607,322
MT732443,323
KJ473423,324
HQ186308,325
KC311669,326
KT339321,327
MK278859,328
JX658790,329
MH800200,330
MH763831,331
KY268296,332
KY268295,333
MF033347,334
MF033348,335
MF033349,336
MH042230,337
KR149290,338
KY082667,339
KT804908,340
MF033350,341
MF033351,342
KT388102,343
KT388103,344
MG459218,345
MG599035,346
KY888680,347
KF669656,348
KJ502657,349
KF322026,350
KF800937,351
KY290756,352
MF481197,353
KY626176,354
MG545917,355
MH113814,356
MH113815,357
MH113813,358
MH113812,359
MG018929,360
KU310944,361
KX278418,362
LC063634,363
LC375533,364
KY953156,365
MK095193,366
JX290549,367
MH807811,368
MK095202,369
MK095203,370
MH807814,371
MH807818,372
KR604693,373
MK095209,374
KX278419,375
MK095210,376
KT240186,377
MG845683,378
LN610580,379
LN610574,380
KM067278,381
KR054031,382
FN263372,383
AM265638,384
AM910651,385
JX997978,386
JX501340,387
KU743887,388
KY618819,389
AJ505558,390
EU236438,391
EU056923,392
MH107770,393
MH979674,394
AM265639,395
FN594518,396
JN651747,397
MH179473,398
MH992513,399
KT184661,400
KT949345,401
MF683623,402
LN878149,403
KC107834,404
MG878892,405
HE956707,406
KY318515,407
HE956710,408
MK053931,409
KX756572,410
KM819695,411
KM819696,412
KU946962,413
KP890822,414
JQ837901,415
EF160123,416
MG736918,417
KM370384,418
KX279892,419
JN986844,420
KY295891,421
KY295892,422
MG775042,423
AY370674,424
AM084415,425
KY295897,426
MH729818,427
MG004687,428
MG251390,429
KM366097,430
AY288927,431
GU595417,432
HG793132,433
KY464836,434
AB451219,435
MG652450,436
KC853746,437
AB920995,438
AB983711,439
KY316062,440
MK562503,441
MF612071,442
KM576124,443
KF765493,444
AB716666,445
KT367886,446
GQ413938,447
KX856662,448
KX587949,449
KT964103,450
KX237514,451
KU666550,452
KY385423,453
KX211991,454
KY000081,455
MK598851,456
MG972768,457
KY684082,458
KP708985,459
KP708986,460
JQ267518,461
KF319020,462
KM819694,463
MH059632,464
MH807813,465
MH807815,466
MH807817,467
KT852574,468
GQ468526,469
MK685668,470
EU734171,471
AM183667,472
KM366096,473
MG471392,474
KF700371,475
FJ194439,476
KP090453,477
KP090454,478
KY084243,479
MH809534,480
MH031343,481
EU734170,482
HQ333270,483
HG818824,484
HQ641340,485
FJ409640,486
DQ029335,487
KT321314,488
HQ728265,489
MH370477,490
LN889995,491
AF493143,492
MG775258,493
KY798121,494
MG250485,495
KU064779,496
KJ507099,497
KR091952,498
LN889756,499
KY798120,500
LT960606,501
LT962379,502
LT961845,503
LT962475,504
MH059637,505
HG818823,506
HG813241,507
EU734172,508
MK033136,509
KY295894,510
KT990215,511
MH491167,512
MF630921,513
AM084414,514
LT594300,515
KJ748011,516
MK301532,517
MH464253,518
KU687349,519
KU687350,520
KY962008,521
MH400309,522
MG845865,523
KX669227,524
EU652770,525
KX078568,526
MH460459,527
MH059639,528
KY250035,529
KY124276,530
LC216347,531
AB775549,532
GU583987,533
KP025626,534
MH268168,535
JX173487,536
MH179472,537
KX431888,538
KY971611,539
MF285615,540
KY652725,541
MK203841,542
KY652724,543
KU183006,544
MH587638,545
KR149291,546
EU734173,547
HM480846,548
KY389315,549
KY389316,550
LC413193,551
LC413194,552
LC413195,553
KT367885,554
GQ413937,555
MH172261,556
MH172262,557
MH172263,558
MH172264,559
MK134560,560
LN866626,561
KX591654,562
KX712071,563
KX712070,564
MK618658,565
KY652723,566
KY450753,567
MG835568,568
MF285620,569
KM253764,570
KP313531,571
KP791805,572
KP791806,573
KX130726,574
KX452696,575
MH717709,576
EU547803,577
KU687347,578
KU687348,579
KX778611,580
KC960671,581
AJ318471,582
JX421753,583
MF285616,584
KT008108,585
AJ251805,586
EU734174,587
MH717099,588
KM242061,589
MG966531,590
MG488277,591
MG832642,592
MK542821,593
JX872508,594
MH779619,595
MH717098,596
MK310182,597
V01146,598
MH382198,599
KU927499,600
FR667955,601
JQ965700,602
JQ965703,603
FR823298,604
MF979561,605
MT597419,606
KC310805,607
MT740728,608
KX660669,609
AP013538,610
MF403005,611
MF403006,612
KY117485,613
AP013544,614
HQ316584,615
KX458241,616
JN991020,617
KM247287,618
MK629528,619
GU071102,620
KT997847,621
JX483874,622
JX483879,623
JX483880,624
MG592574,625
MG201401,626
JN882298,627
MF278336,628
AP013545,629
AP013543,630
KJ749827,631
KY250034,632
MF979559,633
MG711516,634
MH540083,635
GU943031,636
AB854109,637
KX397280,638
HQ317388,639
MK387869,640
KY981272,641
AB597179,642
KC310806,643
AP013549,644
KJ183191,645
FR687252,646
HQ332140,647
HQ633062,648
MF621978,649
MF754111,650
MF754112,651
MK474470,652
FJ896200,653
KX066068,654
